                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.5788,                 1.3333,                 1.5152,                 1.5818,                 1.6676,                 1.4573,                0.80647,                0.43624,                0.53264,                0.24509,                 1.7738,                  1.346,                 1.7056,                 1.7642,                 1.6575,                 1.6659,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.5717,                 1.3103,                 1.5057,                 1.5742,                 1.6197,                 1.4374,                0.45329,                0.45467,                0.53943,                0.25015,                 1.7931,                 1.6946,                 1.6819,                 1.8174,                 2.0241,                 1.6221,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.5666,                 1.2555,                 1.4982,                  1.594,                 1.5346,                 1.4404,                0.55833,                0.62275,                0.60005,                0.28251,                 1.7305,                 1.1963,                 1.6633,                 1.7664,                 1.3981,                 1.6548,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.5756,                 1.2364,                 1.4991,                 1.5878,                 1.4897,                  1.436,                0.55688,                0.61911,                0.62714,                0.28676,                 1.7675,                 1.1771,                   1.68,                 1.7778,                 1.3573,                 1.6362,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.5453,                 1.1981,                 1.4987,                 1.5632,                 1.4742,                 1.4379,                0.60868,                 0.6226,                0.61965,                0.30157,                 1.7394,                 1.1527,                 1.6366,                 1.7089,                 1.3642,                 1.5715,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.5561,                 1.2164,                 1.4901,                 1.5746,                 1.4615,                 1.4358,                0.63602,                0.59123,                 0.6063,                0.28584,                  1.784,                 1.1344,                 1.6545,                 1.7468,                 1.3032,                 1.5742,              0.0010046,              0.0010046,              0.0010046
                     18,                  1.531,                  1.159,                 1.4647,                 1.5473,                 1.3505,                 1.4116,                 0.6218,                0.65201,                0.66485,                0.32539,                  1.758,                 1.0893,                  1.675,                 1.7407,                 1.2423,                 1.5893,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.5177,                 1.1689,                 1.4704,                 1.5502,                 1.3825,                 1.4199,                0.68474,                0.66805,                 0.6942,                0.33793,                 1.7514,                 1.1189,                  1.642,                 1.7398,                  1.272,                  1.559,               0.000948,               0.000948,               0.000948
                     20,                 1.4855,                 1.1361,                 1.4462,                 1.5026,                 1.3451,                  1.399,                0.77019,                0.64975,                0.70956,                0.34779,                 1.7182,                 1.0713,                 1.6238,                 1.7349,                 1.2107,                 1.5695,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.4833,                 1.1164,                 1.4378,                 1.5022,                 1.3206,                 1.4017,                0.65433,                0.69535,                0.69674,                0.33358,                 1.7194,                 1.0533,                 1.6228,                 1.7135,                 1.1959,                 1.5984,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.4866,                  1.072,                 1.4498,                 1.5182,                 1.2512,                 1.4229,                0.67632,                0.69429,                0.71205,                0.32522,                 1.7683,                 1.0432,                 1.6705,                 1.7976,                 1.2045,                 1.6342,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.4771,                 1.0749,                 1.4487,                 1.5093,                 1.2593,                 1.4068,                 0.7798,                0.62526,                0.72121,                0.33738,                 1.7331,                0.99063,                 1.6574,                 1.7419,                 1.1269,                 1.6078,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.4737,                 1.0711,                 1.4365,                 1.5058,                 1.2489,                 1.3946,                0.71194,                0.66076,                0.71415,                0.36071,                 1.7021,                0.98103,                 1.6099,                 1.7381,                 1.0991,                 1.5709,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.4588,                 1.0538,                 1.4204,                 1.4971,                   1.21,                 1.3682,                0.74487,                0.70549,                0.75787,                0.37985,                 1.6994,                0.99443,                 1.6234,                 1.7063,                 1.0676,                 1.5556,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.4645,                 1.0386,                 1.4212,                 1.5048,                 1.2234,                 1.3717,                0.75545,                0.64983,                0.75111,                0.37948,                 1.7249,                0.94052,                  1.644,                 1.7282,                 1.0413,                 1.5975,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.4367,                 1.0486,                 1.4291,                 1.4731,                 1.2194,                 1.3834,                0.71275,                0.71203,                0.74287,                0.37053,                 1.6773,                0.96759,                 1.6103,                 1.6793,                   1.11,                 1.5486,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.4361,                 1.0097,                 1.4072,                 1.4777,                 1.1735,                 1.3617,                0.75979,                0.71402,                0.76416,                0.36389,                 1.7083,                0.91621,                 1.6084,                 1.7285,                0.98655,                 1.5611,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.3946,                0.99897,                 1.4014,                 1.4529,                 1.1402,                 1.3699,                0.70114,                 0.7403,                0.76539,                0.36911,                 1.6859,                0.92281,                 1.6056,                 1.7015,                0.99257,                 1.5605,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.4081,                  1.003,                 1.4195,                 1.4519,                 1.1589,                 1.3828,                0.70821,                0.71229,                0.77515,                0.38322,                 1.6844,                0.90833,                  1.598,                 1.6929,                0.96231,                 1.5714,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.3975,                0.96997,                   1.38,                 1.4456,                 1.1096,                  1.352,                0.67958,                0.72408,                 0.7529,                0.36954,                 1.7022,                0.89533,                 1.5822,                  1.735,                 0.9216,                 1.5484,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.4054,                0.98037,                 1.3992,                 1.4367,                 1.1344,                 1.3614,                0.74746,                0.72185,                 0.7819,                0.38695,                 1.7088,                0.91284,                 1.6227,                 1.7181,                0.98718,                   1.58,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.3917,                0.95287,                 1.3868,                 1.4433,                 1.1098,                 1.3636,                0.71829,                 0.7676,                0.78661,                0.39944,                 1.6831,                0.89478,                  1.565,                 1.7042,                 0.9333,                  1.529,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.3535,                0.91648,                 1.3428,                 1.3962,                 1.0462,                 1.3143,                0.79943,                0.75824,                0.82609,                0.40722,                  1.678,                0.86508,                 1.5634,                 1.7173,                0.89352,                 1.5507,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.3436,                0.91884,                 1.3582,                 1.3989,                 1.0615,                 1.3384,                0.80026,                0.75096,                 0.8244,                0.39831,                 1.6874,                 0.8699,                 1.5873,                 1.7216,                 0.8989,                  1.557,             0.00049529,             0.00049529,             0.00049529
                     36,                  1.328,                0.90841,                 1.3436,                 1.3694,                 1.0366,                 1.3134,                0.83598,                0.71304,                0.80517,                0.39906,                 1.6842,                0.84625,                 1.6037,                 1.7006,                0.91619,                  1.569,               0.000467,               0.000467,               0.000467
                     37,                 1.3392,                0.88597,                 1.3519,                 1.3745,                0.99092,                 1.3198,                0.78708,                 0.7281,                0.79503,                 0.3976,                 1.6872,                0.84823,                  1.588,                 1.7042,                0.89918,                 1.5522,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.3147,                 0.8817,                 1.3446,                 1.3625,                 1.0061,                 1.3199,                0.77016,                 0.7049,                 0.8068,                 0.3969,                 1.6815,                0.83776,                 1.6036,                 1.6871,                0.87923,                 1.5629,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.3242,                0.88574,                 1.3384,                 1.3669,                 1.0019,                 1.3121,                0.80112,                0.71721,                0.81126,                0.40075,                 1.6696,                0.83235,                 1.5692,                 1.6949,                0.90654,                 1.5485,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.3271,                0.87122,                 1.3429,                 1.3661,                0.99405,                 1.3185,                0.80958,                 0.7377,                0.83284,                0.41395,                 1.6691,                0.80911,                 1.5823,                 1.6902,                0.87423,                 1.5574,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.2865,                0.77061,                 1.3711,                 1.3298,                0.79576,                 1.3574,                0.80923,                0.73684,                0.82434,                0.41652,                 1.6785,                0.82142,                 1.5874,                 1.7106,                0.86616,                 1.5645,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.2416,                0.70799,                 1.3404,                 1.2792,                0.74367,                 1.3183,                0.75986,                0.75402,                0.81136,                0.39696,                 1.6539,                0.82557,                 1.5741,                 1.6845,                0.91001,                 1.5419,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.2466,                0.67747,                  1.327,                 1.2882,                0.71242,                 1.3047,                0.77543,                0.76418,                0.81157,                0.40131,                 1.6782,                0.81162,                 1.5756,                 1.7076,                0.84826,                 1.5467,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.2254,                0.67664,                 1.3168,                 1.2654,                0.68312,                 1.3096,                0.75741,                0.76477,                0.81071,                0.38306,                 1.7194,                0.83247,                 1.6259,                 1.7456,                  0.886,                 1.5938,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.2316,                0.68191,                 1.3353,                 1.2739,                0.68347,                 1.3187,                  0.824,                0.70582,                0.82405,                0.40739,                 1.6641,                0.81194,                 1.5915,                 1.6977,                0.86692,                 1.5648,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.1895,                0.64907,                 1.2947,                  1.238,                0.66006,                 1.2811,                0.74517,                0.78048,                0.82811,                0.41012,                 1.6543,                0.80651,                 1.5672,                 1.6937,                0.83531,                 1.5455,             0.00018406,             0.00018406,             0.00018406
                     47,                  1.166,                0.63791,                 1.2762,                 1.2056,                0.64447,                 1.2621,                0.70892,                0.79563,                0.82863,                0.40675,                 1.6716,                0.79255,                  1.589,                 1.7001,                 0.8657,                 1.5565,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.1714,                0.62922,                  1.276,                 1.2116,                0.63672,                 1.2623,                0.77246,                0.78011,                0.82065,                0.40946,                  1.665,                0.78133,                 1.5866,                 1.6985,                0.83436,                 1.5533,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.1418,                0.61859,                 1.2708,                 1.1809,                 0.6367,                 1.2572,                0.81076,                0.75206,                0.82291,                0.41007,                 1.6535,                0.77585,                 1.5779,                 1.6945,                0.82307,                  1.546,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.1213,                0.61209,                 1.2627,                 1.1623,                0.62539,                   1.25,                0.80059,                0.78357,                0.83219,                0.41083,                 1.6686,                0.78254,                 1.5895,                 1.6935,                0.85421,                 1.5453,             7.0878e-05,             7.0878e-05,             7.0878e-05
