                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6012,                  1.731,                 1.5705,                 1.4075,                 3.8123,                 1.4115,                0.76824,                0.09551,                0.26456,                0.11994,                 1.7209,                 2.6944,                 1.7363,                 1.4673,                  6.315,                  1.534,             0.00046641,             0.00046641,             0.00046641
                      2,                 1.6607,                 1.8105,                 1.5957,                 1.5116,                 3.6279,                 1.4643,                0.70344,                0.29384,                0.30827,                0.12777,                 1.9343,                  2.291,                 1.8928,                  1.678,                 5.3319,                 1.7424,             0.00092408,             0.00092408,             0.00092408
                      3,                 1.7057,                 1.7678,                 1.6118,                 1.5721,                 3.2361,                    1.5,                0.53748,                0.27375,                0.20439,                0.07668,                  2.216,                 3.8257,                  2.255,                 2.0934,                 6.1461,                 2.1341,              0.0013629,              0.0013629,              0.0013629
                      4,                 1.7283,                 1.7652,                  1.626,                 1.5966,                 2.9678,                 1.5177,                0.62488,                0.31014,                0.30364,                0.12961,                 1.9512,                 2.2325,                 1.9358,                  1.782,                 3.8481,                 1.8451,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.6747,                 1.6609,                 1.6106,                 1.6116,                 2.6381,                 1.5367,                0.65007,                0.32461,                0.34231,                0.14385,                 1.9397,                 2.2645,                 1.8773,                 1.8626,                 3.4253,                  1.837,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.6551,                 1.5626,                 1.5647,                 1.6089,                 2.3838,                 1.4886,                0.69092,                0.39189,                0.42646,                0.17588,                 1.9518,                 1.6937,                 1.8357,                 1.8836,                 2.7255,                 1.7923,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.6845,                 1.5189,                 1.5816,                 1.6548,                 2.1772,                 1.5015,                0.64709,                0.22061,                0.23423,                0.09837,                  2.135,                 2.7923,                  2.094,                 1.9947,                  3.364,                  2.008,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.6433,                 1.5114,                 1.5618,                 1.6184,                 2.0516,                 1.4821,                0.71674,                0.40134,                0.42724,                 0.1875,                 1.9062,                 1.7336,                 1.8365,                 1.8218,                 2.3387,                 1.7208,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.6433,                 1.4434,                 1.5536,                 1.5965,                 1.9222,                 1.4635,                0.77458,                0.46207,                0.49798,                0.23222,                 1.7738,                 1.4703,                 1.7186,                 1.7201,                 1.9004,                 1.6288,              0.0012309,              0.0012309,              0.0012309
                     10,                  1.623,                 1.4017,                 1.5518,                 1.6111,                 1.8153,                  1.467,                0.77383,                0.45224,                0.54625,                0.25706,                 1.7809,                 1.3451,                 1.7006,                 1.7974,                  1.737,                 1.6549,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.6171,                 1.3247,                 1.5417,                 1.6149,                 1.6841,                 1.4775,                0.74159,                0.45383,                0.52432,                0.25085,                 1.7718,                 1.3196,                 1.6605,                  1.763,                 1.6669,                 1.6088,              0.0011744,              0.0011744,              0.0011744
